  senzor               , V(R15:2)             
  6.470000000000e+003  ,1.699083294360e-001  
  6.480000000000e+003  ,1.699099441550e-001  
  6.490000000000e+003  ,1.699115395028e-001  
  6.500000000000e+003  ,1.699131544611e-001  
  6.510000000000e+003  ,1.699147500485e-001  
  6.520000000000e+003  ,1.699163651212e-001  
  6.530000000000e+003  ,1.699179608236e-001  
  6.540000000000e+003  ,1.699195761357e-001  
  6.550000000000e+003  ,1.699211720776e-001  
  6.560000000000e+003  ,1.699227875042e-001  
  6.570000000000e+003  ,1.699243835613e-001  
  6.580000000000e+003  ,1.699259992274e-001  
  6.590000000000e+003  ,1.699275955241e-001  
  6.600000000000e+003  ,1.699292113047e-001  
  6.610000000000e+003  ,1.699308077166e-001  
  6.620000000000e+003  ,1.699324237368e-001  
  6.630000000000e+003  ,1.699340203884e-001  
  6.640000000000e+003  ,1.699356365232e-001  
  6.650000000000e+003  ,1.699372332901e-001  
  6.660000000000e+003  ,1.699388496646e-001  
  6.670000000000e+003  ,1.699404466712e-001  
  6.680000000000e+003  ,1.699420631604e-001  
  6.690000000000e+003  ,1.699436602824e-001  
  6.700000000000e+003  ,1.699452770113e-001  
  6.710000000000e+003  ,1.699468743731e-001  
  6.720000000000e+003  ,1.699484912168e-001  
  6.730000000000e+003  ,1.699500886941e-001  
  6.740000000000e+003  ,1.699517057775e-001  
  6.750000000000e+003  ,1.699533034947e-001  
  6.760000000000e+003  ,1.699549206930e-001  
  6.770000000000e+003  ,1.699565185257e-001  
  6.780000000000e+003  ,1.699581359639e-001  
  6.790000000000e+003  ,1.699597340365e-001  
  6.800000000000e+003  ,1.699613515896e-001  
  6.810000000000e+003  ,1.699629497779e-001  
  6.820000000000e+003  ,1.699645675710e-001  
  6.830000000000e+003  ,1.699661659993e-001  
  6.840000000000e+003  ,1.699677839073e-001  
  6.850000000000e+003  ,1.699693824513e-001  
  6.860000000000e+003  ,1.699710005994e-001  
  6.870000000000e+003  ,1.699725993835e-001  
  6.880000000000e+003  ,1.699742176466e-001  
  6.890000000000e+003  ,1.699758165465e-001  
  6.900000000000e+003  ,1.699774350497e-001  
  6.910000000000e+003  ,1.699790341897e-001  
  6.920000000000e+003  ,1.699806528081e-001  
  6.930000000000e+003  ,1.699822520640e-001  
  6.940000000000e+003  ,1.699838709225e-001  
  6.950000000000e+003  ,1.699854704186e-001  
  6.960000000000e+003  ,1.699870893924e-001  
  6.970000000000e+003  ,1.699886890045e-001  
  6.980000000000e+003  ,1.699903082185e-001  
  6.990000000000e+003  ,1.699919080708e-001  
  7.000000000000e+003  ,1.699935274001e-001  
  7.010000000000e+003  ,1.699951273685e-001  
  7.020000000000e+003  ,1.699967469381e-001  
  7.030000000000e+003  ,1.699983471469e-001  
  7.040000000000e+003  ,1.699999668319e-001  
  7.050000000000e+003  ,1.700015671567e-001  
  7.060000000000e+003  ,1.700031870821e-001  
  7.070000000000e+003  ,1.700047876474e-001  
  7.080000000000e+003  ,1.700064076883e-001  
  7.090000000000e+003  ,1.700080083697e-001  
  7.100000000000e+003  ,1.700096286510e-001  
  7.110000000000e+003  ,1.700112295730e-001  
  7.120000000000e+003  ,1.700128499698e-001  
  7.130000000000e+003  ,1.700144510081e-001  
  7.140000000000e+003  ,1.700160716454e-001  
  7.150000000000e+003  ,1.700176729243e-001  
  7.160000000000e+003  ,1.700192936772e-001  
  7.170000000000e+003  ,1.700208950724e-001  
  7.180000000000e+003  ,1.700225160660e-001  
  7.190000000000e+003  ,1.700241177018e-001  
  7.200000000000e+003  ,1.700257388111e-001  
  7.210000000000e+003  ,1.700273405633e-001  
  7.220000000000e+003  ,1.700289619132e-001  
  7.230000000000e+003  ,1.700305639062e-001  
  7.240000000000e+003  ,1.700321853719e-001  
  7.250000000000e+003  ,1.700337874813e-001  
  7.260000000000e+003  ,1.700354091878e-001  
  7.270000000000e+003  ,1.700370115380e-001  
  7.280000000000e+003  ,1.700386333603e-001  
  7.290000000000e+003  ,1.700402358271e-001  
  7.300000000000e+003  ,1.700418578902e-001  
  7.310000000000e+003  ,1.700434605980e-001  
  7.320000000000e+003  ,1.700450827770e-001  
  7.330000000000e+003  ,1.700466856013e-001  
  7.340000000000e+003  ,1.700483080213e-001  
  7.350000000000e+003  ,1.700499110866e-001  
  7.360000000000e+003  ,1.700515336225e-001  
  7.370000000000e+003  ,1.700531368045e-001  
  7.380000000000e+003  ,1.700547595814e-001  
  7.390000000000e+003  ,1.700563630044e-001  
  7.400000000000e+003  ,1.700579858974e-001  
  7.410000000000e+003  ,1.700595894372e-001  
  7.420000000000e+003  ,1.700612125713e-001  
  7.430000000000e+003  ,1.700628163522e-001  
  7.440000000000e+003  ,1.700644396024e-001  
  7.450000000000e+003  ,1.700660435001e-001  
  7.460000000000e+003  ,1.700676669914e-001  
  7.470000000000e+003  ,1.700692711304e-001  
  7.480000000000e+003  ,1.700708947379e-001  
  7.490000000000e+003  ,1.700724989939e-001  
  7.500000000000e+003  ,1.700741228426e-001  
  7.510000000000e+003  ,1.700757273397e-001  
  7.520000000000e+003  ,1.700773513048e-001  
  7.530000000000e+003  ,1.700789559189e-001  
  7.540000000000e+003  ,1.700805801252e-001  
  7.550000000000e+003  ,1.700821849808e-001  
  7.560000000000e+003  ,1.700838093034e-001  
  7.570000000000e+003  ,1.700854142760e-001  
  7.580000000000e+003  ,1.700870388400e-001  
  7.590000000000e+003  ,1.700886440541e-001  
  7.600000000000e+003  ,1.700902687345e-001  
  7.610000000000e+003  ,1.700918740657e-001  
  7.620000000000e+003  ,1.700934989876e-001  
  7.630000000000e+003  ,1.700951045603e-001  
  7.640000000000e+003  ,1.700967295987e-001  
  7.650000000000e+003  ,1.700983352886e-001  
  7.660000000000e+003  ,1.700999605685e-001  
  7.670000000000e+003  ,1.701015665000e-001  
  7.680000000000e+003  ,1.701031918965e-001  
  7.690000000000e+003  ,1.701047979453e-001  
  7.700000000000e+003  ,1.701064235834e-001  
  7.710000000000e+003  ,1.701080298738e-001  
  7.720000000000e+003  ,1.701096556286e-001  
  7.730000000000e+003  ,1.701112620364e-001  
  7.740000000000e+003  ,1.701128880328e-001  
  7.750000000000e+003  ,1.701144946824e-001  
  7.760000000000e+003  ,1.701161207955e-001  
  7.770000000000e+003  ,1.701177275625e-001  
  7.780000000000e+003  ,1.701193539174e-001  
  7.790000000000e+003  ,1.701209609262e-001  
  7.800000000000e+003  ,1.701225873979e-001  
  7.810000000000e+003  ,1.701241945243e-001  
  7.820000000000e+003  ,1.701258212378e-001  
  7.830000000000e+003  ,1.701274286060e-001  
  7.840000000000e+003  ,1.701290554364e-001  
  7.850000000000e+003  ,1.701306629223e-001  
  7.860000000000e+003  ,1.701322899945e-001  
  7.870000000000e+003  ,1.701338977223e-001  
  7.880000000000e+003  ,1.701355249116e-001  
  7.890000000000e+003  ,1.701371327571e-001  
  7.900000000000e+003  ,1.701387601883e-001  
  7.910000000000e+003  ,1.701403682758e-001  
  7.920000000000e+003  ,1.701419958241e-001  
  7.930000000000e+003  ,1.701436040293e-001  
  7.940000000000e+003  ,1.701452318196e-001  
  7.950000000000e+003  ,1.701468402670e-001  
  7.960000000000e+003  ,1.701484681744e-001  
  7.970000000000e+003  ,1.701500767397e-001  
  7.980000000000e+003  ,1.701517048892e-001  
  7.990000000000e+003  ,1.701533136966e-001  
  8.000000000000e+003  ,1.701549419633e-001  
  8.010000000000e+003  ,1.701565508886e-001  
  8.020000000000e+003  ,1.701581793976e-001  
  8.030000000000e+003  ,1.701597885651e-001  
  8.040000000000e+003  ,1.701614171913e-001  
  8.050000000000e+003  ,1.701630264769e-001  
  8.060000000000e+003  ,1.701646553454e-001  
  8.070000000000e+003  ,1.701662648732e-001  
  8.080000000000e+003  ,1.701678938591e-001  
